FID	IID	DATASET	AFR	EAS	AMR	EUR
0	100047	STUDY	0.85709616	0.02620512	0.04610611	0.0705926
0	100056	STUDY	0.00602733	0.05548441	0.52049421	0.41799405
0	100104	STUDY	0.80999293	0.03934312	0.07648357	0.07418038
0	100108	STUDY	0.00038054	0.07609126	0.35205644	0.57147176
0	100193	STUDY	0.00492211	0.06130657	0.34575013	0.58802119
0	100201	STUDY	7.4e-07	0.06188489	0.36072589	0.57738847
0	100259	STUDY	0.00030028	0.07627174	0.39850796	0.52492002
0	100277	STUDY	0.91355078	0.01902563	0.02993845	0.03748515
0	100298	STUDY	0.0001685	0.05987227	0.33517531	0.60478392
0	100368	STUDY	0.00807866	0.07095547	0.40529715	0.51566872
0	100473	STUDY	0.00206132	0.06518638	0.33970903	0.59304328
0	100527	STUDY	0.01000218	0.07920606	0.26689164	0.64390013
0	100529	STUDY	0.0003694	0.0634612	0.47953093	0.45663847
0	100535	STUDY	0.8494737	0.02815365	0.05600868	0.06636397
0	100579	STUDY	0.97517532	0.02474823	7.4e-07	7.57e-05
0	100625	STUDY	0.00088015	0.06586857	0.39709397	0.53615731
0	100675	STUDY	0.00407658	0.06240152	0.46660444	0.46691746
0	100696	STUDY	7.4e-07	0.06904358	0.38944101	0.54151466
0	100703	STUDY	0.87609646	0.02406555	0.04676324	0.05307476
0	100749	STUDY	0.00688367	0.07442771	0.43716823	0.48152039
0	100786	STUDY	7.4e-07	0.06658783	0.39923356	0.53417787
0	100796	STUDY	0.79697102	0.0223487	0.08000122	0.10067907
0	100804	STUDY	0.00023076	0.05677237	0.44152086	0.50147602
0	100818	STUDY	7.4e-07	0.07634978	0.42949035	0.49415913
0	100898	STUDY	7.4e-07	0.06938736	0.3899536	0.5406583
0	100924	STUDY	0.01060618	0.0714447	0.28381387	0.63413526
0	101029	STUDY	3.879e-05	0.06293042	0.44418126	0.49284953
0	101145	STUDY	0.00205865	0.06078697	0.45451415	0.48264023
0	101215	STUDY	0.00102839	0.06538013	0.42049662	0.51309486
0	101368	STUDY	0.0183411	0.06496674	0.42550633	0.49118583
0	101415	STUDY	0.0011205	0.06892359	0.51437986	0.41557604
0	101450	STUDY	7.4e-07	0.06227469	0.33816521	0.59955935
0	101506	STUDY	0.00791941	0.07283167	0.31328301	0.60596592
0	101534	STUDY	7.4e-07	0.05339626	0.39024904	0.55635395
0	101577	STUDY	0.00288433	0.06133189	0.43439354	0.50139024
0	101612	STUDY	0.03077549	0.04458474	0.63312603	0.29151374
0	101736	STUDY	0.88258803	0.02832881	0.05120406	0.0378791
0	101892	STUDY	0.79889854	0.02124147	0.09649979	0.08336021
0	102041	STUDY	0.00022154	0.06286066	0.535828	0.40108979
0	102142	STUDY	0.00432786	0.05590841	0.41063405	0.52912968
0	102245	STUDY	7.4e-07	0.05936453	0.4766319	0.46400283
0	102348	STUDY	0.00489101	0.06055162	0.45042492	0.48413245
0	102405	STUDY	0.87515974	0.02317147	0.03806056	0.06360823
0	102406	STUDY	0.00172951	0.04922996	0.45657489	0.49246564
0	102440	STUDY	0.01011534	0.06177435	0.4850445	0.44306581
0	102443	STUDY	0.00534012	0.07204421	0.50055795	0.42205772
0	102557	STUDY	0.78917881	0.03401021	0.10079043	0.07602055
0	102578	STUDY	0.00495216	0.05196707	0.51586084	0.42721993
0	102595	STUDY	0.73808315	0.01597376	0.10928443	0.13665866
0	102655	STUDY	7.4e-07	0.06590814	0.34681799	0.58727312
0	102700	STUDY	0.00241449	0.05503635	0.48634518	0.45620398
0	102783	STUDY	0.00214072	0.06580233	0.47607799	0.45597897
0	102790	STUDY	0.00429547	0.06723301	0.53480924	0.39366227
0	102881	STUDY	2.977e-05	0.06598088	0.43907435	0.494915
0	102956	STUDY	0.00485214	0.06021072	0.25026495	0.6846722
0	103291	STUDY	0.00077482	0.05910614	0.43604446	0.50407458
0	103359	STUDY	7.4e-07	0.07372084	0.44807221	0.4782062
0	103360	STUDY	0.00486549	0.07176619	0.47754965	0.44581867
