FID	IID	DATASET	AFR	EAS	AMR	EUR
0	103393	STUDY	0.00137785	0.07120842	0.43584815	0.49156558
0	103431	STUDY	0.00200553	0.06006015	0.52707952	0.4108548
0	103505	STUDY	0.82140679	0.02024111	0.05318378	0.10516833
0	103630	STUDY	0.00495256	0.07149987	0.50323228	0.42031529
0	103673	STUDY	0.00131852	0.04953339	0.37799833	0.57114976
0	103687	STUDY	7.5e-07	0.07613581	0.4357804	0.48808305
0	103698	STUDY	0.04748601	0.05659069	0.25763117	0.63829213
0	103699	STUDY	0.79139036	0.03498242	0.0655687	0.10805852
0	103704	STUDY	0.4564468	0.05389421	0.38979296	0.09986604
0	103769	STUDY	0.00116883	0.05574827	0.48790002	0.45518288
0	103796	STUDY	0.00178303	0.06518903	0.48211307	0.45091487
0	103892	STUDY	0.00125233	0.06366735	0.43809785	0.49698248
0	103989	STUDY	7.4e-07	0.05663235	0.35449984	0.58886707
0	104046	STUDY	0.00693859	0.06930812	0.4035113	0.52024199
0	104051	STUDY	0.00234612	0.06270003	0.52699355	0.40796031
0	104068	STUDY	0.00436853	0.05529639	0.43686326	0.50347182
0	104105	STUDY	0.79011867	0.03407375	0.07616611	0.09964148
0	104133	STUDY	7.5e-07	0.09466599	0.34193383	0.56339943
0	104168	STUDY	0.86776098	0.04238143	0.05493663	0.03492097
0	104228	STUDY	7.4e-07	0.06544589	0.47513949	0.45941387
0	104281	STUDY	0.00026503	0.073951	0.37382804	0.55195593
0	104475	STUDY	0.74365612	0.02138398	0.11272224	0.12223765
0	104482	STUDY	0.93082205	0.02031009	0.02573507	0.02313279
0	104502	STUDY	0.00036442	0.08122134	0.36139042	0.55702383
0	104511	STUDY	0.04942902	0.0760449	0.32965917	0.54486692
0	104536	STUDY	0.74287603	0.03922951	0.12615461	0.09173985
0	104587	STUDY	0.00098341	0.06266352	0.41011215	0.52624092
0	104636	STUDY	0.00030438	0.06405476	0.4453072	0.49033366
0	104652	STUDY	0.00501333	0.06532035	0.37334077	0.55632556
0	104671	STUDY	0.85251832	0.02471083	0.05394392	0.06882692
0	104698	STUDY	0.00017923	0.0554913	0.4890096	0.45531987
0	104704	STUDY	0.00995234	0.06757866	0.43712349	0.48534551
0	104708	STUDY	0.8771658	0.01527298	0.04469263	0.06286859
0	104730	STUDY	0.00131434	0.05961952	0.41273482	0.52633131
0	104775	STUDY	0.70836234	0.01968723	0.13662211	0.13532832
0	104827	STUDY	0.00146732	0.07074876	0.34716731	0.58061662
0	104832	STUDY	7.4e-07	0.04972957	0.46388375	0.48638594
0	104915	STUDY	0.00969413	0.07617579	0.42673069	0.48739939
0	104988	STUDY	0.82390274	0.03051302	0.08002099	0.06556325
0	105047	STUDY	0.00035223	0.05834062	0.5004231	0.44088404
0	105061	STUDY	0.00203068	0.06704057	0.41161576	0.51931299
0	105104	STUDY	0.79949899	0.03353094	0.08052951	0.08644056
0	105198	STUDY	0.00210934	0.05971591	0.41979218	0.51838257
0	105256	STUDY	0.0006571	0.07670873	0.51603341	0.40660076
0	105279	STUDY	0.74734529	0.0194717	0.10992585	0.12325716
0	105293	STUDY	7.5e-07	0.07252083	0.42181251	0.50566591
0	105331	STUDY	0.00031505	0.0796259	0.32878311	0.59127594
0	105370	STUDY	0.00069574	0.05269037	0.47180939	0.4748045
0	105374	STUDY	7.5e-07	0.07521712	0.34714066	0.57764148
0	105477	STUDY	0.00896747	0.0619278	0.44890377	0.48020096
0	105572	STUDY	0.00196888	0.07520838	0.45684223	0.4659805
0	105644	STUDY	0.01530846	0.05118559	0.39309483	0.54041111
0	105649	STUDY	0.00296207	0.06880723	0.41041163	0.51781907
0	105676	STUDY	0.8234616	0.03115928	0.08404297	0.06133616
0	105799	STUDY	0.89741998	0.01625091	0.0516589	0.03467021
0	105806	STUDY	0.74924535	0.03418399	0.12948213	0.08708853
0	105807	STUDY	0.03614376	0.07077567	0.47546773	0.41761284
0	105826	STUDY	0.86638246	0.01987701	0.06667484	0.0470657
0	105841	STUDY	0.66014039	0.04345462	0.13023337	0.16617161
0	105843	STUDY	0.80322587	0.03424734	0.07786035	0.08466644
0	105850	STUDY	0.00420455	0.07610704	0.51361342	0.40607499
0	105861	STUDY	0.00476423	0.05487105	0.45280395	0.48756077
0	105881	STUDY	0.00467549	0.05431387	0.42827259	0.51273805
0	105896	STUDY	0.01308681	0.0540165	0.45557061	0.47732608
0	105909	STUDY	0.00058477	0.06257925	0.50441773	0.43241825
0	105949	STUDY	0.00614198	0.06332954	0.41329673	0.51723176
0	106076	STUDY	0.74106316	0.03870863	0.11849067	0.10173754
0	106086	STUDY	0.77841533	0.0292695	0.08779738	0.10451779
0	106087	STUDY	0.71274471	0.04083496	0.11918946	0.12723088
0	106181	STUDY	0.00416587	0.04689718	0.60281555	0.3461214
0	106188	STUDY	0.00309841	0.07296692	0.4439339	0.48000077
0	106219	STUDY	0.84010312	0.03153121	0.07566292	0.05270275
0	106249	STUDY	0.88961291	0.03047526	0.04225831	0.03765352
0	106292	STUDY	7.4e-07	0.07274973	0.36767079	0.55957874
0	106322	STUDY	3.171e-05	0.07526761	0.43032198	0.4943787
0	106328	STUDY	0.00037479	0.06959046	0.41369597	0.51633878
0	106332	STUDY	0.00023039	0.07274483	0.49126635	0.43575843
0	106365	STUDY	0.00189963	0.06970828	0.50374863	0.42464346
0	106378	STUDY	0.00124002	0.04280975	0.35699981	0.59895042
0	106406	STUDY	0.00295566	0.06959415	0.44705627	0.48039392
0	106558	STUDY	0.00296811	0.06276682	0.45654735	0.47771772
0	106596	STUDY	0.0026042	0.06292941	0.45470819	0.4797582
0	106645	STUDY	0.00087949	0.06267708	0.42977478	0.50666866
0	106648	STUDY	0.01570363	0.07415093	0.39154	0.51860543
0	106752	STUDY	0.00236804	0.05560127	0.44712926	0.49490143
0	106759	STUDY	0.87020162	0.01511394	0.06724855	0.04743589
0	106834	STUDY	0.00118942	0.06357086	0.5501047	0.38513502
0	106845	STUDY	0.00221981	0.06817428	0.37836643	0.55123948
0	106877	STUDY	0.00096102	0.0717091	0.43215824	0.49517164
0	106910	STUDY	7.4e-07	0.05798074	0.43207265	0.50994587
0	107054	STUDY	0.89280083	0.01894131	0.04873145	0.03952641
0	107154	STUDY	0.00120883	0.05412444	0.43259377	0.51207296
0	107235	STUDY	0.02641903	0.07208342	0.60593595	0.29556161
0	107276	STUDY	0.00549207	0.05644423	0.43162633	0.50643737
0	107279	STUDY	7.4e-07	0.06245218	0.4539624	0.48358468
0	107297	STUDY	0.0004668	0.07786721	0.4800786	0.44158739
0	107354	STUDY	0.00113088	0.05894032	0.48392608	0.45600273
0	107389	STUDY	0.00050145	0.06254062	0.30355333	0.6334046
0	107442	STUDY	7.5e-07	0.07459655	0.27559342	0.64980929
0	107469	STUDY	0.00372803	0.0581287	0.43429784	0.50384542
0	107485	STUDY	0.0003488	0.09264437	0.27166976	0.63533707
0	107565	STUDY	0.00055253	0.05902367	0.37774886	0.56267494
0	107601	STUDY	0.79952216	0.02074826	0.09501284	0.08471674
0	107619	STUDY	0.03925735	0.08094777	0.54583755	0.33395733
0	107718	STUDY	0.00127027	0.06999669	0.44121289	0.48752014
0	107721	STUDY	0.00417578	0.06207605	0.4797561	0.45399207
0	107798	STUDY	0.00280075	0.06356974	0.46575062	0.4678789
0	107856	STUDY	0.003427	0.07955257	0.41523564	0.50178479
0	107890	STUDY	7.4e-07	0.08728872	0.4787986	0.43391193
0	107975	STUDY	0.00187104	0.05649931	0.3783349	0.56329476
0	107984	STUDY	0.00019035	0.0687309	0.51419451	0.41688424
0	108018	STUDY	0.92017662	0.024954	0.01804387	0.03682552
0	108047	STUDY	0.00847598	0.07365502	0.61969143	0.29817757
0	108127	STUDY	0.00689546	0.05313007	0.466168	0.47380647
0	108187	STUDY	0.0065199	0.05355499	0.52210016	0.41782495
0	108246	STUDY	0.00154633	0.06035112	0.48780698	0.45029558
0	108380	STUDY	7.4e-07	0.13527645	0.47603253	0.38869028
0	108560	STUDY	0.00421002	0.06667031	0.44390651	0.48521316
0	108570	STUDY	0.00063208	0.07004277	0.37376308	0.55556207
0	108617	STUDY	0.00076619	0.07498724	0.3663616	0.55788497
0	108735	STUDY	0.00570337	0.05815787	0.38047687	0.55566189
0	108737	STUDY	7.4e-07	0.07792568	0.42097271	0.50110086
0	108738	STUDY	7.4e-07	0.0695584	0.38289098	0.54754988
0	108786	STUDY	0.00387063	0.05933827	0.36304294	0.57374815
0	108807	STUDY	0.81773803	0.01999478	0.09271772	0.06954947
0	108868	STUDY	0.05665604	0.06524661	0.284198	0.59389935
0	108875	STUDY	0.00283094	0.06454609	0.411401	0.52122196
0	108947	STUDY	0.005979	0.05601326	0.49565505	0.44235268
0	108980	STUDY	0.00043455	0.08100923	0.40168317	0.51687305
0	108994	STUDY	0.00054273	0.06083247	0.36999775	0.56862705
0	109000	STUDY	0.00194972	0.06466728	0.43374384	0.49963916
0	109032	STUDY	0.03876837	0.05823439	0.33067415	0.57232308
0	109076	STUDY	0.74757732	0.02849065	0.10589649	0.11803554
0	109120	STUDY	0.00596485	0.07150554	0.42057207	0.50195754
0	109203	STUDY	0.00689562	0.06180966	0.51879974	0.41249497
0	109311	STUDY	0.00138017	0.06271437	0.53953137	0.39637409
0	109420	STUDY	8.12e-06	0.05957423	0.35621497	0.58420268
0	109494	STUDY	0.85927373	0.0163952	0.06724304	0.05708803
0	109497	STUDY	7.4e-07	0.06091284	0.45862874	0.48045768
0	109557	STUDY	0.00015945	0.05953325	0.40621878	0.53408852
0	109590	STUDY	0.6817596	0.03656238	0.10946149	0.17221653
0	109666	STUDY	0.00146452	0.06245505	0.37719417	0.55888626
0	109794	STUDY	0.00396453	0.07042073	0.46071834	0.4648964
0	109821	STUDY	0.00219797	0.05466412	0.48266904	0.46046887
0	109841	STUDY	0.00235086	0.05912263	0.47540608	0.46312043
0	109917	STUDY	0.00034771	0.06243609	0.54123685	0.39597935
0	110164	STUDY	0.00455589	0.04806468	0.42101391	0.52636552
0	110228	STUDY	7.5e-07	0.08353575	0.19300401	0.72345949
0	110244	STUDY	0.00360549	0.05415801	0.52834261	0.41389389
0	110261	STUDY	7.4e-07	0.0755656	0.35646714	0.56796651
0	110288	STUDY	0.69855158	0.02449684	0.13445101	0.14250058
0	110342	STUDY	0.92717995	0.01821263	0.03195036	0.02265706
0	110360	STUDY	0.00029589	0.07056638	0.48355631	0.44558142
0	110444	STUDY	0.01300569	0.0578351	0.49087208	0.43828714
0	110464	STUDY	0.00200665	0.06868991	0.44687106	0.48243238
0	110476	STUDY	0.00658062	0.06840938	0.3328614	0.5921486
0	110488	STUDY	0.00348556	0.05943531	0.44578205	0.49129709
0	110494	STUDY	0.00226362	0.06382548	0.50369506	0.43021584
0	110502	STUDY	0.00349664	0.08623316	0.25807805	0.65219215
0	110529	STUDY	0.00150511	0.0740552	0.45274966	0.47169003
0	110589	STUDY	0.73271131	0.03181166	0.09554664	0.13993039
0	110626	STUDY	0.00204213	0.06620998	0.37754976	0.55419813
0	110795	STUDY	7.4e-07	0.07759648	0.25579321	0.66660956
0	110842	STUDY	0.83331959	0.02050862	0.05772471	0.08844709
0	110870	STUDY	0.0047897	0.05980237	0.53287695	0.40253097
0	110957	STUDY	0.88199433	0.01298988	0.05538898	0.04962681
0	111002	STUDY	0.7660701	0.03522769	0.13422676	0.06447545
0	111021	STUDY	0.92258144	0.01434457	0.03423851	0.02883548
0	111097	STUDY	0.00477602	0.06053044	0.61216309	0.32253045
0	111108	STUDY	0.00086854	0.06659517	0.38911783	0.54341847
0	111166	STUDY	0.00034928	0.06448455	0.41952492	0.51564125
0	111173	STUDY	0.82443777	0.03664482	0.07320236	0.06571504
0	111176	STUDY	0.00010754	0.06218683	0.28165009	0.65605554
0	111195	STUDY	0.00111327	0.05886857	0.43102345	0.50899471
0	111234	STUDY	0.00140853	0.06539694	0.47662082	0.45657371
0	111241	STUDY	0.00478998	0.06314742	0.35643376	0.57562884
0	111252	STUDY	0.96153013	0.01480893	0.01105814	0.01260281
0	111266	STUDY	0.00021951	0.04999175	0.42415256	0.52563619
0	111296	STUDY	0.00293704	0.04787208	0.50129578	0.4478951
0	111346	STUDY	0.47727276	0.06414195	0.27843538	0.18014992
0	111378	STUDY	0.90223999	0.04236238	0.02823476	0.02716288
0	111470	STUDY	0.00016851	0.05339149	0.47503995	0.47140004
0	111476	STUDY	0.0583236	0.08021512	0.66194556	0.19951573
0	111586	STUDY	0.00962563	0.05624465	0.5433062	0.39082352
0	111598	STUDY	0.00849501	0.07491251	0.45690451	0.45968797
0	111610	STUDY	0.00893733	0.06202266	0.42076199	0.50827803
0	111645	STUDY	0.77004791	0.04438247	0.09434547	0.09122414
0	111649	STUDY	0.00143683	0.07097913	0.45600308	0.47158096
0	111707	STUDY	0.00269604	0.06148179	0.46636969	0.46945248
0	111744	STUDY	0.01284791	0.06063198	0.43702372	0.48949639
0	111771	STUDY	0.00077054	0.07181313	0.53913692	0.38827941
0	111781	STUDY	0.00241903	0.05507427	0.38203937	0.56046733
0	111820	STUDY	0.00090967	0.06382005	0.4982254	0.43704488
0	111829	STUDY	0.00480071	0.06374025	0.40067418	0.53078486
0	111893	STUDY	7.4e-07	0.07067844	0.40844789	0.52087292
0	111920	STUDY	0.01513169	0.06116246	0.432315	0.49139085
0	111943	STUDY	0.88029502	0.02974802	0.05217975	0.03777721
0	111949	STUDY	0.00394882	0.06599566	0.3920736	0.53798192
0	111988	STUDY	0.00053445	0.07016857	0.48284927	0.44644771
0	111990	STUDY	0.00173126	0.06499511	0.41124398	0.52202966
0	112118	STUDY	7.5e-07	0.05814865	0.48501723	0.45683338
0	112219	STUDY	7.6e-07	0.11427623	0.22510818	0.66061483
0	112225	STUDY	0.0015128	0.07735166	0.3050373	0.61609823
0	112235	STUDY	0.88873323	0.01859863	0.04638158	0.04628656
0	112263	STUDY	0.00035322	0.05376782	0.4756432	0.47023576
0	112292	STUDY	0.01128764	0.05939614	0.47887611	0.4504401
0	112313	STUDY	4.011e-05	0.06859737	0.43751216	0.49385036
0	112369	STUDY	0.96978924	0.01112816	0.0116793	0.00740331
0	112389	STUDY	0.01012671	0.0718256	0.2669998	0.65104788
0	112526	STUDY	7.4e-07	0.0651275	0.41725189	0.51761987
0	112545	STUDY	0.00078078	0.06063024	0.45728255	0.48130643
0	112609	STUDY	0.00384231	0.08186118	0.24801476	0.66628175
0	112755	STUDY	0.04110942	0.09519385	0.74185534	0.12184138
0	112765	STUDY	0.00333518	0.07534457	0.6256443	0.29567595
0	112845	STUDY	0.00265624	0.07780388	0.38375298	0.5357869
0	112848	STUDY	0.00347642	0.06321556	0.32036019	0.61294783
0	112963	STUDY	0.00028117	0.05580769	0.37630651	0.56760464
0	112990	STUDY	0.00713934	0.05832332	0.40396781	0.53056953
0	113019	STUDY	0.01433757	0.05432464	0.46190402	0.46943377
0	113111	STUDY	0.00165511	0.07518391	0.38151317	0.54164781
0	113180	STUDY	0.87154359	0.01473526	0.05883299	0.05488817
0	113218	STUDY	0.00260232	0.07090364	0.49333842	0.43315562
0	113238	STUDY	0.01251057	0.05742417	0.44029924	0.48976603
0	113247	STUDY	0.00021544	0.06862224	0.3268269	0.60433541
0	113283	STUDY	0.00156823	0.06126537	0.42780752	0.50935888
0	113333	STUDY	0.01588774	0.06373958	0.24254804	0.67782464
0	113426	STUDY	7.4e-07	0.06233484	0.30449257	0.63317185
0	113510	STUDY	0.00167948	0.08786624	0.44420482	0.46624946
0	113525	STUDY	0.81208927	0.02294831	0.08216871	0.08279371
0	113580	STUDY	0.83432563	0.02633638	0.0559146	0.08342339
0	113667	STUDY	0.0093116	0.05781614	0.27135811	0.66151414
0	113689	STUDY	0.00074143	0.07341928	0.47962919	0.4462101
0	113763	STUDY	0.00047781	0.07045344	0.40638135	0.5226874
0	113787	STUDY	0.56986317	0.0456417	0.19561043	0.18888471
0	113840	STUDY	0.00904832	0.06390792	0.46581935	0.46122441
0	113864	STUDY	0.03346243	0.0801349	0.77161044	0.11479223
0	113886	STUDY	0.01016637	0.0659484	0.36141818	0.56246705
0	113891	STUDY	0.72983325	0.0307499	0.13800629	0.10141057
0	114034	STUDY	0.77669437	0.04190819	0.10854166	0.07285578
0	114129	STUDY	0.02651481	0.06065392	0.45352914	0.45930214
0	114224	STUDY	0.67016208	0.04046049	0.07783565	0.21154178
0	114247	STUDY	0.92481845	0.02453589	0.02957207	0.0210736
0	114347	STUDY	0.00011152	0.06908371	0.48648168	0.44432309
0	114391	STUDY	0.01374634	0.05237681	0.61374114	0.32013571
0	114431	STUDY	0.00327571	0.06080586	0.58421201	0.35170642
0	114445	STUDY	0.00199991	0.0517669	0.42055663	0.52567657
0	114584	STUDY	0.00614843	0.0647718	0.46602466	0.46305511
0	114586	STUDY	0.86814593	0.02868082	0.05231409	0.05085916
0	114713	STUDY	3.228e-05	0.05919703	0.36736895	0.57340174
0	114731	STUDY	0.00099785	0.06407733	0.52171643	0.41320839
0	114735	STUDY	0.00265559	0.07451014	0.49684078	0.42599349
0	114753	STUDY	0.79489615	0.02410391	0.0973277	0.08367224
0	114754	STUDY	0.00139991	0.06787951	0.48211995	0.44860063
0	114793	STUDY	0.00292949	0.05757092	0.39577755	0.54372204
0	114838	STUDY	7.4e-07	0.06847689	0.32953009	0.60199228
0	114857	STUDY	0.00803595	0.06998445	0.42415006	0.49782953
0	114875	STUDY	0.80420868	0.02648507	0.06770573	0.10160052
0	114888	STUDY	0.01783166	0.0534901	0.45230103	0.47637721
0	115037	STUDY	0.00474425	0.0673652	0.33396815	0.5939224
0	115170	STUDY	0.00184011	0.0557025	0.39072619	0.5517312
0	115201	STUDY	0.00250021	0.06059014	0.42909449	0.50781516
0	115286	STUDY	0.00300967	0.07698206	0.36680166	0.55320661
0	115305	STUDY	0.00014168	0.04730122	0.42275906	0.52979805
0	115355	STUDY	0.0049047	0.06520985	0.40480208	0.52508337
0	115403	STUDY	0.00623766	0.06424395	0.38281742	0.54670097
0	115444	STUDY	0.01559617	0.05729203	0.52642957	0.40068223
0	115480	STUDY	0.00122804	0.05634696	0.46842204	0.47400296
0	115521	STUDY	0.50081691	0.02876282	0.19502096	0.27539931
0	115528	STUDY	0.0028288	0.06788968	0.45093102	0.4783505
0	115543	STUDY	0.00664739	0.05028706	0.30156157	0.64150398
0	115714	STUDY	0.84707954	0.01326455	0.0697423	0.06991361
0	115722	STUDY	3.321e-05	0.0602136	0.49699763	0.44275556
0	115744	STUDY	7.5e-07	0.05272231	0.54807277	0.39920418
0	115757	STUDY	0.94149727	0.01290139	0.00951885	0.03608249
0	115766	STUDY	0.79795797	0.03893624	0.08434472	0.07876107
0	115790	STUDY	0.00051118	0.06497722	0.48859883	0.44591277
0	115927	STUDY	7.5e-07	0.07506816	0.4069397	0.51799139
0	115943	STUDY	0.87444192	0.03057318	0.04275986	0.05222504
0	115950	STUDY	0.00251436	0.06031191	0.44081081	0.49636292
0	116024	STUDY	7.5e-07	0.11573042	0.20399649	0.68027234
0	116067	STUDY	0.96417228	0.02387625	0.00613457	0.0058169
0	116073	STUDY	0.0019743	0.07246605	0.40844889	0.51711076
0	116203	STUDY	0.93803872	0.02311579	0.01784219	0.02100329
0	116215	STUDY	0.03797578	0.07271042	0.79118186	0.09813194
0	116218	STUDY	0.87896946	0.01653322	0.05705646	0.04744086
0	116228	STUDY	0.00011415	0.07876739	0.25483865	0.6662798
0	116235	STUDY	0.04428544	0.05549562	0.22014676	0.68007218
0	116307	STUDY	7.4e-07	0.06232787	0.4158242	0.52184719
0	116341	STUDY	0.86187538	0.01987037	0.05932168	0.05893257
0	116386	STUDY	0.00257424	0.08183787	0.34372563	0.57186226
0	116422	STUDY	0.00112467	0.06236944	0.36652978	0.5699761
0	116437	STUDY	0.00451904	0.06709817	0.38891463	0.53946815
0	116451	STUDY	0.0020825	0.05524477	0.45281122	0.48986151
0	116472	STUDY	0.00252471	0.0671212	0.48727288	0.44308121
0	116512	STUDY	0.00015568	0.06307872	0.45726536	0.47950024
0	116518	STUDY	0.00199249	0.06369729	0.38024742	0.55406279
0	116614	STUDY	7.4e-07	0.06933521	0.3267365	0.60392754
0	116663	STUDY	0.00411307	0.06966273	0.48089013	0.44533406
0	116718	STUDY	0.78269532	0.01270664	0.08917316	0.11542488
0	116721	STUDY	0.89258458	0.01603366	0.04430407	0.04707769
0	116735	STUDY	7.5e-07	0.06765888	0.34820065	0.58413973
0	116748	STUDY	0.0312906	0.06099577	0.40516094	0.5025527
0	116756	STUDY	0.00065925	0.05433669	0.46390613	0.48109793
0	116763	STUDY	0.00140288	0.05925037	0.3034616	0.63588515
0	116806	STUDY	0.00093956	0.05585571	0.44462567	0.49857906
0	116807	STUDY	0.01958719	0.05563215	0.49189587	0.43288479
0	116814	STUDY	0.00150728	0.06325758	0.45377988	0.48145526
0	116903	STUDY	7.4e-07	0.07212741	0.34257452	0.58529733
0	116976	STUDY	0.00011682	0.06265893	0.49676611	0.44045815
0	116982	STUDY	0.00329271	0.04616626	0.41576359	0.53477743
0	117062	STUDY	0.00109721	0.06910874	0.45264833	0.47714572
0	117073	STUDY	0.00500506	0.05895436	0.54170106	0.39433952
0	117091	STUDY	0.00397636	0.08484845	0.37242168	0.5387535
0	117130	STUDY	0.0013218	0.05727485	0.48504101	0.45636233
0	117151	STUDY	0.62754341	0.04202718	0.14730151	0.1831279
0	117324	STUDY	0.00276266	0.06969624	0.41854231	0.50899879
0	117327	STUDY	7.5e-07	0.06909063	0.37094305	0.55996558
0	117377	STUDY	0.00070133	0.06115108	0.52408549	0.41406211
0	117403	STUDY	0.01267403	0.0626956	0.42562502	0.49900535
0	117411	STUDY	0.00479115	0.05035419	0.41729167	0.52756299
0	117468	STUDY	0.62601561	0.04475372	0.11395389	0.21527678
0	117571	STUDY	0.77489492	0.02936962	0.09931759	0.09641788
0	117581	STUDY	0.0039239	0.04501974	0.46226383	0.48879253
0	117593	STUDY	0.00384352	0.06464789	0.51984577	0.41166282
0	117648	STUDY	0.00062683	0.08447705	0.34776044	0.56713567
0	117658	STUDY	0.0024361	0.07177641	0.38595177	0.53983572
0	117681	STUDY	0.00149353	0.08107041	0.43159586	0.48584021
0	117712	STUDY	0.88266092	0.02932839	0.05221967	0.03579102
0	117733	STUDY	0.90335027	0.01559204	0.02979769	0.05126
0	117806	STUDY	0.03578333	0.0707568	0.71720802	0.17625185
0	117905	STUDY	0.00070918	0.07393563	0.45825228	0.46710292
0	117990	STUDY	0.00739481	0.0773208	0.39359435	0.52169005
0	118065	STUDY	0.00362596	0.08022805	0.36627683	0.54986916
0	118075	STUDY	0.00089769	0.0612912	0.46696698	0.47084413
0	118086	STUDY	0.87001481	0.04271953	0.03515247	0.05211319
0	118128	STUDY	0.00161613	0.05976022	0.41029722	0.52832642
0	118223	STUDY	0.76039563	0.02990076	0.09778958	0.11191403
0	118237	STUDY	0.00155426	0.06468085	0.44424375	0.48952113
0	118272	STUDY	0.00194792	0.09795183	0.32430263	0.57579762
0	118295	STUDY	0.00501232	0.08064611	0.24244513	0.67189644
0	118305	STUDY	0.00118881	0.05735239	0.46152761	0.47993119
0	118315	STUDY	2.771e-05	0.06518059	0.31472995	0.62006176
0	118316	STUDY	0.85283015	0.03314237	0.07631082	0.03771666
0	118346	STUDY	0.00242348	0.07392681	0.3679666	0.55568311
0	118473	STUDY	0.01471296	0.05947835	0.39612988	0.52967882
0	118486	STUDY	0.01907478	0.06210648	0.73669276	0.18212598
0	118544	STUDY	0.01105266	0.06269636	0.46049001	0.46576097
0	118569	STUDY	7.4e-07	0.07128087	0.47963036	0.44908803
0	118650	STUDY	0.86048809	0.01851845	0.057162	0.06383145
0	118702	STUDY	0.00244919	0.06449771	0.42176522	0.51128789
