FID	IID	SUPERPOP	AFR	EAS	AMR	EUR
0	HG02023	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02025	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02026	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02028	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02029	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02031	EAS	7.5e-07	0.99999777	7.4e-07	7.4e-07
0	HG02032	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02035	EAS	7.4e-07	0.99999776	7.5e-07	7.5e-07
0	HG02040	EAS	7.5e-07	0.99999777	7.4e-07	7.4e-07
0	HG02047	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02048	EAS	7.5e-07	0.99999777	7.4e-07	7.4e-07
0	HG02049	EAS	7.5e-07	0.99999776	7.4e-07	7.5e-07
0	HG02050	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02051	AFR	0.97672366	0.02101256	0.00175716	0.00050661
0	HG02052	AFR	0.97589758	0.00356046	0.00999465	0.01054731
0	HG02053	AFR	0.92512559	0.01733903	0.02698365	0.03055173
0	HG02054	AFR	0.87037861	0.01144693	0.05428666	0.0638878
0	HG02057	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02058	EAS	0.02381078	0.97618773	7.4e-07	7.4e-07
0	HG02060	EAS	7.4e-07	0.99999776	7.5e-07	7.5e-07
0	HG02061	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02064	EAS	7.4e-07	0.99999777	7.5e-07	7.5e-07
0	HG02067	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02069	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02070	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02072	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02073	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02075	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02076	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
